district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
부산진구,2024,70 이상,170,마네킹 실습 경험률,2.9,1.1,38.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,6,207
부산진구,2024,70 이상,170,AED 실습 경험률,1.9,0.8,42.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,8,207
부산진구,2024,19-64,627,심폐소생술 교육 경험률,33.1,2.6,7.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,4,207
부산진구,2024,19-64,627,마네킹 실습 경험률,29.7,2.7,9.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,6,207
부산진구,2024,19-64,627,AED 실습 경험률,21.7,2.2,10.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,8,207
부산진구,2024,65 이상,276,심폐소생술 교육 경험률,6.7,1.2,18.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,4,207
부산진구,2024,65 이상,276,마네킹 실습 경험률,6.1,1.2,20.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,6,207
부산진구,2024,65 이상,276,AED 실습 경험률,3.1,0.8,25.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,8,207
수영구,2024,전체,913,심폐소생술 교육 경험률,24.3,1.9,7.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,4,208
수영구,2024,전체,913,마네킹 실습 경험률,22.7,1.8,7.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,6,208
수영구,2024,전체,913,AED 실습 경험률,15.6,1.6,10.3,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",6,8,208
수영구,2024,남자,380,심폐소생술 교육 경험률,31.8,2.8,8.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,4,208
