행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2614065000,서구 남부민1동,20대미만,61.75,5.583333333333333,29.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614065000,서구 남부민1동,30대,105.5,30.25,59.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614065000,서구 남부민1동,40대,200.58333333333334,39.166666666666664,96.16666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614065000,서구 남부민1동,50대,438.6666666666667,55.5,150.83333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614065000,서구 남부민1동,60대이상,1255.9166666666667,66.91666666666667,337.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614066000,서구 남부민2동,20대,417.9166666666667,59.166666666666664,184.66666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614066000,서구 남부민2동,20대미만,345.6666666666667,50.833333333333336,143.16666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614066000,서구 남부민2동,30대,408.3333333333333,66.75,238.83333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614066000,서구 남부민2동,40대,621.25,88.0,287.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614066000,서구 남부민2동,50대,966.3333333333334,104.41666666666667,351.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614066000,서구 남부민2동,60대이상,3226.75,120.33333333333333,781.9166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614068000,서구 암남동,20대,1164.4166666666667,383.25,717.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614068000,서구 암남동,20대미만,786.5833333333334,42.166666666666664,279.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614068000,서구 암남동,30대,1146.0833333333333,439.8333333333333,703.9166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614068000,서구 암남동,40대,1484.0833333333333,508.5,904.3333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614068000,서구 암남동,50대,1929.9166666666667,603.3333333333334,1157.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614068000,서구 암남동,60대이상,4796.583333333333,425.0833333333333,1861.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617051000,동구 초량1동,20대,155.5,155.75,398.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617051000,동구 초량1동,20대미만,103.25,21.916666666666668,116.41666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617051000,동구 초량1동,30대,148.66666666666666,231.66666666666666,370.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617051000,동구 초량1동,40대,227.83333333333334,209.08333333333334,355.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617051000,동구 초량1동,50대,335.75,180.41666666666666,436.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617051000,동구 초량1동,60대이상,920.0,131.5,632.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617052000,동구 초량2동,20대,301.75,154.75,666.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617052000,동구 초량2동,20대미만,226.58333333333334,118.41666666666667,247.16666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617052000,동구 초량2동,30대,290.4166666666667,196.83333333333334,534.0833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617052000,동구 초량2동,40대,422.25,187.33333333333334,530.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617052000,동구 초량2동,50대,650.1666666666666,210.91666666666666,680.1666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617052000,동구 초량2동,60대이상,2055.5,218.58333333333334,1355.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617053000,동구 초량3동,20대,1129.5,467.6666666666667,1314.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617053000,동구 초량3동,20대미만,675.4166666666666,86.58333333333333,472.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617053000,동구 초량3동,30대,1602.25,608.5833333333334,1253.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617053000,동구 초량3동,40대,1381.3333333333333,527.5833333333334,1286.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617053000,동구 초량3동,50대,1244.8333333333333,576.9166666666666,1607.9166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617053000,동구 초량3동,60대이상,2207.9166666666665,427.9166666666667,2132.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617055000,동구 초량6동,20대,88.0,22.0,117.33333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617055000,동구 초량6동,20대미만,63.25,35.416666666666664,86.33333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617055000,동구 초량6동,30대,82.41666666666667,21.416666666666668,117.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617055000,동구 초량6동,40대,108.91666666666667,29.916666666666668,134.58333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617055000,동구 초량6동,50대,221.58333333333334,44.333333333333336,132.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617055000,동구 초량6동,60대이상,523.6666666666666,25.5,167.08333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617056000,동구 수정1동,20대,290.3333333333333,72.66666666666667,169.33333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617056000,동구 수정1동,20대미만,278.1666666666667,31.333333333333332,107.83333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617056000,동구 수정1동,30대,248.25,85.91666666666667,171.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617056000,동구 수정1동,40대,395.8333333333333,88.0,178.33333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617056000,동구 수정1동,50대,480.0833333333333,87.91666666666667,215.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617056000,동구 수정1동,60대이상,1397.8333333333333,86.0,388.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617057000,동구 수정2동,20대,469.5,80.33333333333333,125.08333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617057000,동구 수정2동,20대미만,377.1666666666667,87.41666666666667,120.91666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617057000,동구 수정2동,30대,590.5833333333334,122.75,162.41666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617057000,동구 수정2동,40대,654.0833333333334,148.33333333333334,196.16666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617057000,동구 수정2동,50대,924.5833333333334,184.58333333333334,282.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617057000,동구 수정2동,60대이상,2938.0,163.08333333333334,522.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617059000,동구 수정4동,20대,128.0,19.916666666666668,29.833333333333332,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617059000,동구 수정4동,20대미만,96.41666666666667,1.9166666666666667,27.583333333333332,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617059000,동구 수정4동,30대,132.25,8.416666666666666,32.083333333333336,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617059000,동구 수정4동,40대,211.66666666666666,16.833333333333332,44.333333333333336,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617059000,동구 수정4동,50대,403.3333333333333,30.416666666666668,68.58333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617059000,동구 수정4동,60대이상,1424.5833333333333,37.083333333333336,171.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617060000,동구 수정5동,20대,272.5833333333333,23.916666666666668,47.166666666666664,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617060000,동구 수정5동,20대미만,254.16666666666666,23.5,49.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617060000,동구 수정5동,30대,222.41666666666666,35.416666666666664,55.916666666666664,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617060000,동구 수정5동,40대,388.6666666666667,41.166666666666664,73.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617060000,동구 수정5동,50대,634.6666666666666,59.916666666666664,100.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617060000,동구 수정5동,60대이상,2134.5,57.5,222.83333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617064500,동구 좌천동,20대,300.1666666666667,34.75,189.41666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617064500,동구 좌천동,20대미만,153.66666666666666,41.5,162.58333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617064500,동구 좌천동,30대,281.0,42.333333333333336,221.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617064500,동구 좌천동,40대,278.1666666666667,45.75,234.41666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617064500,동구 좌천동,50대,446.0833333333333,79.25,333.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617064500,동구 좌천동,60대이상,1422.0,78.41666666666667,773.9166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617065000,동구 범일1동,20대,601.4166666666666,72.91666666666667,209.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617065000,동구 범일1동,20대미만,302.1666666666667,55.416666666666664,88.33333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
