CLMTY_SGG_NM,CLMTY_EMD_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,scope,period,priorStable,beforeMobile,afterMobile,mobileRetention,beforeWeekendRatio,afterWeekendRatio,weekendDirectionReversed,weekendBeyond09_11,dayShareChangePP,hourTVD,beforeAll,afterAll,removedOtherChannels,removedWithinMobile,otherChannelsSurviving
연제구,연산동,구급,심정지,B,2024,True,138,97,0.7028985507246377,1.1402834008097165,1.4867591424968474,False,False,3.0180785895711937,0.10212161960256985,176,97,38,41,0
연제구,연산동,구급,심정지,C,2020,True,104,78,0.75,1.1709100758396531,1.2596153846153846,False,False,-2.8846153846153855,0.09294871794871795,143,78,39,26,0
연제구,연산동,구급,심정지,C,2020–2024,True,710,511,0.719718309859155,1.0786290322580647,1.170977011494253,False,False,-1.1242799261321323,0.041688487086905,895,511,185,199,0
연제구,연산동,구급,심정지,C,2021,True,137,102,0.7445255474452555,0.9987244897959183,1.0456730769230769,True,False,0.26477744382423785,0.10297695720624017,171,102,34,35,0
연제구,연산동,구급,심정지,C,2022,True,169,119,0.7041420118343196,1.1313628899835795,1.253767329716697,False,False,-3.8386952414101727,0.09830441052160509,207,119,38,50,0
연제구,연산동,구급,심정지,C,2023,True,162,115,0.7098765432098766,0.9819376026272577,0.9138321995464852,False,False,-1.9538378958668834,0.08738593666129899,198,115,36,47,0
연제구,연산동,구급,심정지,C,2024,True,138,97,0.7028985507246377,1.1402834008097165,1.4867591424968474,False,False,3.0180785895711937,0.10212161960256985,176,97,38,41,0
연제구,연산동,구조,산악사고,A,2020,True,16,6,0.375,7.557692307692308,5.038461538461539,False,False,-31.25,0.43749999999999994,21,6,5,10,0
연제구,연산동,구조,산악사고,A,2020–2024,True,64,38,0.59375,2.3484848484848486,1.8181818181818183,False,False,-4.851973684210531,0.14226973684210525,74,38,10,26,0
연제구,연산동,구조,산악사고,A,2021,True,14,12,0.8571428571428571,4.517307692307693,3.5134615384615384,False,False,4.761904761904767,0.13095238095238093,14,12,0,2,0
연제구,연산동,구조,산악사고,A,2022,True,12,5,0.4166666666666667,0.8253968253968254,0.6190476190476191,False,False,-11.666666666666659,0.38333333333333336,16,5,4,7,0
연제구,연산동,구조,산악사고,A,2023,True,17,11,0.6470588235294118,0.761904761904762,0.5502645502645502,False,False,0.0,0.2887700534759358,18,11,1,6,0
연제구,연산동,구조,산악사고,A,2024,True,5,4,0.8,3.778846153846154,2.5192307692307696,False,False,0.0,0.19999999999999998,5,4,0,1,0
연제구,연산동,구조,산악사고,B,2020,True,10,4,0.4,5.878205128205128,7.557692307692308,False,False,-30.000000000000004,0.5,14,4,4,6,0
연제구,연산동,구조,산악사고,B,2020–2024,True,42,26,0.6190476190476191,2.272727272727273,1.8333333333333335,False,False,-4.945054945054938,0.18315018315018317,49,26,7,16,0
연제구,연산동,구조,산악사고,B,2021,True,9,8,0.8888888888888888,3.1370192307692313,2.509615384615385,False,False,8.333333333333337,0.11111111111111113,9,8,0,1,0
연제구,연산동,구조,산악사고,B,2022,True,8,3,0.375,0.8253968253968255,1.2380952380952381,True,True,-20.833333333333336,0.49999999999999994,10,3,2,5,0
연제구,연산동,구조,산악사고,B,2023,True,10,7,0.7,1.0612244897959182,0.41269841269841273,True,False,0.0,0.29999999999999993,11,7,1,3,0
연제구,연산동,구조,산악사고,B,2024,True,5,4,0.8,3.778846153846154,2.5192307692307696,False,False,0.0,0.19999999999999998,5,4,0,1,0
연제구,연산동,구조,산악사고,C,2020,True,10,4,0.4,5.878205128205128,7.557692307692308,False,False,-30.000000000000004,0.5,14,4,4,6,0
연제구,연산동,구조,산악사고,C,2020–2024,True,42,26,0.6190476190476191,2.272727272727273,1.8333333333333335,False,False,-4.945054945054938,0.18315018315018317,49,26,7,16,0
연제구,연산동,구조,산악사고,C,2021,True,9,8,0.8888888888888888,3.1370192307692313,2.509615384615385,False,False,8.333333333333337,0.11111111111111113,9,8,0,1,0
연제구,연산동,구조,산악사고,C,2022,True,8,3,0.375,0.8253968253968255,1.2380952380952381,True,True,-20.833333333333336,0.49999999999999994,10,3,2,5,0
연제구,연산동,구조,산악사고,C,2023,True,10,7,0.7,1.0612244897959182,0.41269841269841273,True,False,0.0,0.29999999999999993,11,7,1,3,0
연제구,연산동,구조,산악사고,C,2024,True,5,4,0.8,3.778846153846154,2.5192307692307696,False,False,0.0,0.19999999999999998,5,4,0,1,0
연제구,연산동,구조,수난사고,A,2020,False,0,0,,,,False,False,,,0,0,0,0,0
연제구,연산동,구조,수난사고,A,2020–2024,False,4,4,1.0,2.5,2.5,False,False,0.0,0.0,12,4,8,0,0
연제구,연산동,구조,수난사고,A,2021,False,2,2,1.0,,,False,False,0.0,0.0,2,2,0,0,0
연제구,연산동,구조,수난사고,A,2022,False,0,0,,,,False,False,,,0,0,0,0,0
연제구,연산동,구조,수난사고,A,2023,False,2,2,1.0,0.0,0.0,False,False,0.0,0.0,9,2,7,0,0
연제구,연산동,구조,수난사고,A,2024,False,0,0,,,,False,False,,,1,0,1,0,0
연제구,연산동,구조,수난사고,B,2020,False,0,0,,,,False,False,,,0,0,0,0,0
연제구,연산동,구조,수난사고,B,2020–2024,False,2,2,1.0,,,False,False,0.0,0.0,5,2,3,0,0
연제구,연산동,구조,수난사고,B,2021,False,2,2,1.0,,,False,False,0.0,0.0,2,2,0,0,0
연제구,연산동,구조,수난사고,B,2022,False,0,0,,,,False,False,,,0,0,0,0,0
연제구,연산동,구조,수난사고,B,2023,False,0,0,,,,False,False,,,2,0,2,0,0
연제구,연산동,구조,수난사고,B,2024,False,0,0,,,,False,False,,,1,0,1,0,0
연제구,연산동,구조,수난사고,C,2020,False,0,0,,,,False,False,,,0,0,0,0,0
연제구,연산동,구조,수난사고,C,2020–2024,False,2,2,1.0,,,False,False,0.0,0.0,5,2,3,0,0
연제구,연산동,구조,수난사고,C,2021,False,2,2,1.0,,,False,False,0.0,0.0,2,2,0,0,0
연제구,연산동,구조,수난사고,C,2022,False,0,0,,,,False,False,,,0,0,0,0,0
연제구,연산동,구조,수난사고,C,2023,False,0,0,,,,False,False,,,2,0,2,0,0
연제구,연산동,구조,수난사고,C,2024,False,0,0,,,,False,False,,,1,0,1,0,0
연제구,연산동,화재,일반화재(주택),A,2020,False,82,40,0.4878048780487805,2.9170040485829962,1.3565088757396448,False,False,9.999999999999998,0.23719512195121953,103,40,21,42,0
연제구,연산동,화재,일반화재(주택),A,2020–2024,False,312,202,0.6474358974358975,1.4393939393939394,1.1071428571428572,False,False,2.4435135821274434,0.1064991114496065,388,202,76,110,0
