행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2611056000,중구 부평동,14시,2460.9166666666665,2532.1666666666665,6529.583333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,15시,2481.5,2565.4166666666665,6454.083333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,16시,2558.3333333333335,2524.5833333333335,6296.416666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,17시,2691.1666666666665,2289.3333333333335,6651.583333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,18시,2864.0833333333335,1640.5833333333333,7684.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,19시,3015.8333333333335,1191.0833333333333,8368.333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,20시,3369.1666666666665,757.5833333333334,8232.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,21시,3516.6666666666665,602.0833333333334,7602.166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,22시,3638.1666666666665,473.5,6770.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611056000,중구 부평동,23시,3704.0833333333335,375.0,5899.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,00시,399.25,54.083333333333336,434.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,01시,401.8333333333333,47.166666666666664,378.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,02시,404.9166666666667,42.916666666666664,331.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,03시,409.6666666666667,41.416666666666664,308.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,04시,413.8333333333333,41.166666666666664,297.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,05시,417.0833333333333,42.416666666666664,301.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,06시,414.3333333333333,50.333333333333336,328.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,07시,410.3333333333333,100.91666666666667,398.6666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,08시,395.0833333333333,281.4166666666667,514.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,09시,355.5833333333333,618.3333333333334,712.8333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,10시,347.5833333333333,1023.0833333333334,1085.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,11시,341.9166666666667,1286.25,1868.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,12시,339.0,1430.5,2974.5833333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,13시,335.4166666666667,1528.5,3549.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,14시,330.4166666666667,1573.0,3778.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,15시,330.6666666666667,1585.1666666666667,3748.0833333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,16시,336.6666666666667,1556.0,3542.3333333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,17시,342.3333333333333,1438.9166666666667,3284.5833333333335,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,18시,344.25,1187.0833333333333,3067.4166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,19시,348.4166666666667,890.3333333333334,2639.1666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,20시,376.9166666666667,608.1666666666666,2033.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,21시,386.25,348.8333333333333,1435.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,22시,389.5833333333333,200.5,966.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611057000,중구 광복동,23시,391.3333333333333,120.33333333333333,701.8333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,00시,2480.25,223.0,3478.4166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,01시,2505.0,181.08333333333334,3146.9166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,02시,2536.0833333333335,157.83333333333334,2861.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,03시,2569.4166666666665,148.83333333333334,2689.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,04시,2618.0,149.16666666666666,2643.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,05시,2678.8333333333335,164.33333333333334,2831.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,06시,2697.6666666666665,262.8333333333333,3330.4166666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,07시,2606.75,650.5,3819.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,08시,2472.8333333333335,1849.75,4517.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,09시,2209.25,3452.4166666666665,5889.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,10시,2134.9166666666665,4316.583333333333,7467.833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,11시,2092.5,4868.083333333333,9169.916666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,12시,2051.4166666666665,5198.0,11182.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,13시,2016.4166666666667,5520.916666666667,12598.333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,14시,1992.5,5660.25,13528.916666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,15시,1991.8333333333333,5709.333333333333,13295.833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,16시,1997.4166666666667,5612.166666666667,12264.083333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,17시,2006.0833333333333,5129.083333333333,11432.916666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,18시,2034.5833333333333,4001.1666666666665,11180.916666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,19시,2056.5,2692.0833333333335,10261.916666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,20시,2244.75,1800.0833333333333,8878.083333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,21시,2290.0833333333335,1210.8333333333333,7258.583333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,22시,2330.4166666666665,736.5833333333334,5710.916666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611058000,중구 남포동,23시,2359.1666666666665,466.3333333333333,4744.666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,00시,384.4166666666667,7.666666666666667,317.6666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,01시,393.3333333333333,6.666666666666667,316.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,02시,400.75,6.25,315.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,03시,405.3333333333333,6.0,314.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,04시,408.75,6.083333333333333,314.9166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,05시,404.8333333333333,8.5,323.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,06시,391.4166666666667,18.083333333333332,351.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,07시,366.25,32.916666666666664,372.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,08시,329.8333333333333,93.16666666666667,408.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,09시,271.4166666666667,199.5,451.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,10시,243.91666666666666,219.66666666666666,457.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,11시,228.75,222.16666666666666,470.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,12시,220.58333333333334,217.33333333333334,502.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,13시,212.83333333333334,233.25,477.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,14시,209.25,240.41666666666666,454.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,15시,212.33333333333334,235.58333333333334,420.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,16시,223.91666666666666,225.08333333333334,387.6666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,17시,234.91666666666666,198.75,372.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,18시,250.33333333333334,130.5,383.6666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,19시,265.1666666666667,70.5,365.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,20시,298.3333333333333,37.416666666666664,338.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,21시,316.5,23.666666666666668,322.9166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,22시,333.0,14.583333333333334,319.4166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,23시,341.5,10.583333333333334,317.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,00시,6309.5,43.166666666666664,976.8333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,01시,6363.5,42.333333333333336,970.9166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,02시,6406.833333333333,42.083333333333336,960.8333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,03시,6432.0,40.083333333333336,947.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,04시,6440.416666666667,39.166666666666664,935.0833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,05시,6392.416666666667,39.833333333333336,925.3333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,06시,6230.0,47.75,972.5833333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,07시,5945.666666666667,93.66666666666667,1027.9166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,08시,5406.25,260.5833333333333,1159.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
