snapshot,fieldStudyArea,district,lawDong,lawDongCode,category,shops,denominatorShops,sharePct,busanSameSnapshotSharePct,differenceFromBusanPercentagePoints
20240930,못골시장,남구,대연동,2629010600,부동산,198,4314,4.589707927677329,3.888472118029507,0.7012358096478222
20240930,못골시장,남구,대연동,2629010600,소매,828,4314,19.193324061196105,25.352171376177377,-6.158847314981273
20240930,못골시장,남구,대연동,2629010600,수리·개인,556,4314,12.888270746407047,12.929621294212442,-0.041350547805395266
20240930,못골시장,남구,대연동,2629010600,숙박,46,4314,1.0662957811775615,1.562196104581701,-0.4959003234041395
20240930,못골시장,남구,대연동,2629010600,시설관리·임대,173,4314,4.010199350950394,3.600900225056264,0.4092991258941301
20240930,못골시장,남구,대연동,2629010600,예술·스포츠,192,4314,4.450625869262865,3.794004056569698,0.6566218126931669
20240930,못골시장,남구,대연동,2629010600,음식,1594,4314,36.94946685210941,34.791336723069655,2.1581301290397548
20240930,광안역 주변,수영구,광안동,2650010400,과학·기술,260,3203,8.117389946924758,8.41251979661582,-0.2951298496910617
20240930,광안역 주변,수영구,광안동,2650010400,교육,121,3203,3.777708398376522,4.278152871551221,-0.5004444731746989
20240930,광안역 주변,수영구,광안동,2650010400,보건의료,60,3203,1.8732438339057134,1.3906254341363118,0.4826183997694016
20240930,광안역 주변,수영구,광안동,2650010400,부동산,165,3203,5.151420543240712,3.888472118029507,1.2629484252112047
20240930,광안역 주변,수영구,광안동,2650010400,소매,613,3203,19.13830783640337,25.352171376177377,-6.213863539774007
20240930,광안역 주변,수영구,광안동,2650010400,수리·개인,458,3203,14.299094598813612,12.929621294212442,1.3694733046011702
20240930,광안역 주변,수영구,광안동,2650010400,숙박,108,3203,3.371838901030284,1.562196104581701,1.809642796448583
20240930,광안역 주변,수영구,광안동,2650010400,시설관리·임대,116,3203,3.621604745551046,3.600900225056264,0.020704520494781775
20240930,광안역 주변,수영구,광안동,2650010400,예술·스포츠,87,3203,2.7162035591632843,3.794004056569698,-1.0778004974064137
20240930,광안역 주변,수영구,광안동,2650010400,음식,1215,3203,37.933187636590695,34.791336723069655,3.14185091352104
20240930,신평역 주변,사하구,신평동,2638010400,과학·기술,130,1081,12.025901942645698,8.41251979661582,3.6133821460298776
20240930,신평역 주변,사하구,신평동,2638010400,교육,35,1081,3.2377428307123033,4.278152871551221,-1.0404100408389176
