district,rawDong,subtype,candidateCode,candidateName,year,referenceDate,total,age12Plus,age65Plus,age12PlusShare,age65PlusShare,0–11세Count,0–11세Share,12–19세Count,12–19세Share,20–39세Count,20–39세Share,40–64세Count,40–64세Share,65–79세Count,65–79세Share,80세 이상Count,80세 이상Share
부산진구,부전동,교통사고,2623052000,부전제2동,2024,2024-12-31,12202,11393,1599,0.9336993935420422,0.1310440911326012,809,0.06630060645795771,390,0.031961973446975905,5414,0.4436977544664809,3990,0.32699557449598426,1305,0.10694968038026553,294,0.024094410752335683
수영구,광안동,교통사고,2650076000,광안제1동,2020,2020-12-31,26065,24504,4772,0.9401112603107615,0.18308075963936313,1561,0.05988873968923844,1349,0.05175522731632457,9167,0.35169767887972375,9216,0.3535775944753501,3835,0.14713216957605985,937,0.03594859006330328
수영구,광안동,교통사고,2650076000,광안제1동,2021,2021-12-31,25866,24485,4964,0.9466094486971314,0.1919121626846053,1381,0.05339055130286863,1254,0.0484806309440965,9257,0.357882935127194,9010,0.3483337199412356,3951,0.15274878218510787,1013,0.039163380499497406
수영구,광안동,교통사고,2650076000,광안제1동,2022,2022-12-31,25724,24443,5173,0.9502021458560099,0.2010962525268232,1281,0.04979785414399005,1201,0.0466879178976831,9371,0.3642901570517804,8698,0.3381278183797232,4069,0.15817913232778727,1104,0.04291712019903592
수영구,광안동,교통사고,2650076000,광안제1동,2023,2023-12-31,25403,24220,5424,0.9534306971617525,0.21351808841475417,1183,0.04656930283824745,1183,0.04656930283824745,9076,0.35728063614533717,8537,0.33606266976341376,4241,0.16694878557650672,1183,0.04656930283824745
수영구,광안동,교통사고,2650076000,광안제1동,2024,2024-12-31,24807,23773,5700,0.9583182166324021,0.22977385415406942,1034,0.041681783367597855,1140,0.04595477083081388,8641,0.3483291006570726,8292,0.33426049099044625,4457,0.17966702946748903,1243,0.0501068246865804
수영구,광안동,교통사고,2650077000,광안제2동,2020,2020-12-31,18688,17312,3655,0.9263698630136986,0.195580051369863,1376,0.07363013698630137,1018,0.05447345890410959,5601,0.2997110445205479,7038,0.3766053082191781,2897,0.15501926369863014,758,0.040560787671232876
수영구,광안동,교통사고,2650077000,광안제2동,2021,2021-12-31,18688,17401,3788,0.9311322773972602,0.2026969178082192,1287,0.06886772260273973,963,0.05153039383561644,5660,0.3028681506849315,6990,0.3740368150684932,2972,0.15903253424657535,816,0.04366438356164384
수영구,광안동,교통사고,2650077000,광안제2동,2022,2022-12-31,18789,17564,3945,0.9348022779285752,0.20996327638511894,1225,0.06519772207142477,957,0.050934057161104905,5754,0.30624301452977803,6908,0.3676619298525733,3043,0.16195646388844537,902,0.04800681249667359
수영구,광안동,교통사고,2650077000,광안제2동,2023,2023-12-31,18483,17344,4098,0.9383758047935941,0.22171725369258238,1139,0.061624195206405885,988,0.0534545257804469,5464,0.2956230049234432,6794,0.3675810203971217,3130,0.16934480333279228,968,0.05237245035979008
수영구,광안동,교통사고,2650077000,광안제2동,2024,2024-12-31,18319,17259,4235,0.9421365795076151,0.23118074130683988,1060,0.05786342049238496,1003,0.054751896937605765,5388,0.29412085812544353,6633,0.36208308313772586,3185,0.1738632021398548,1050,0.0573175391669851
수영구,광안동,교통사고,2650078000,광안제3동,2020,2020-12-31,9696,9307,2162,0.9598803630363036,0.2229785478547855,389,0.04011963696369637,333,0.0343440594059406,3322,0.3426155115511551,3490,0.35994224422442245,1736,0.17904290429042904,426,0.04393564356435643
수영구,광안동,교통사고,2650078000,광안제3동,2021,2021-12-31,9597,9268,2177,0.9657184536834428,0.22684172137126185,329,0.034281546316557256,315,0.03282275711159737,3475,0.36209232051682816,3301,0.34396165468375534,1752,0.18255704907783682,425,0.04428467229342503
수영구,광안동,교통사고,2650078000,광안제3동,2022,2022-12-31,9581,9282,2298,0.9687924016282226,0.2398497025362697,299,0.031207598371777476,300,0.03131197161047907,3539,0.3693768917649515,3145,0.3282538357165223,1821,0.19006366767560798,477,0.04978603486066173
수영구,광안동,교통사고,2650078000,광안제3동,2023,2023-12-31,9423,9169,2353,0.9730446779157381,0.24970816088294598,254,0.026955322084261914,305,0.03236761116417277,3441,0.36517032792104426,3070,0.3257985779475751,1833,0.19452403693091372,520,0.05518412395203226
수영구,광안동,교통사고,2650078000,광안제3동,2024,2024-12-31,9148,8931,2387,0.9762789680804548,0.2609313511149978,217,0.023721031919545256,260,0.028421512898994316,3358,0.36707477044162656,2926,0.31985133362483603,1853,0.2025579361609095,534,0.05837341495408833
수영구,광안동,교통사고,2650079000,광안제4동,2020,2020-12-31,13127,12185,2702,0.9282395063609354,0.20583530128742286,942,0.07176049363906452,700,0.05332520758741525,3662,0.27896701455016376,5121,0.3901119829359336,2097,0.1597470861582997,605,0.04608821512912318
수영구,광안동,교통사고,2650079000,광안제4동,2021,2021-12-31,13715,12617,2871,0.9199416697047029,0.2093328472475392,1098,0.08005833029529712,752,0.05483047757929275,3690,0.26904848705796575,5304,0.3867298578199052,2208,0.16099161502005105,663,0.04834123222748815
수영구,광안동,교통사고,2650079000,광안제4동,2022,2022-12-31,13584,12556,3013,0.9243227326266196,0.22180506478209658,1028,0.07567726737338044,719,0.052929917550058894,3594,0.26457597173144876,5230,0.38501177856301533,2283,0.16806537102473498,730,0.0537396937573616
수영구,광안동,교통사고,2650079000,광안제4동,2023,2023-12-31,13362,12375,3113,0.9261338123035474,0.23297410567280347,987,0.07386618769645263,703,0.05261188444843586,3432,0.2568477772788505,5127,0.38370004490345755,2356,0.17632091004340666,757,0.056653195629396795
수영구,광안동,교통사고,2650079000,광안제4동,2024,2024-12-31,13101,12172,3160,0.9290893824898863,0.24120296160598428,929,0.07091061751011374,677,0.051675444622547896,3298,0.2517365086634608,5037,0.3844744675978933,2369,0.18082589115334707,791,0.0603770704526372
